음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
소문난쭈꾸미 마포본점,한식,3.5870786,서울 마포구 도화동 179-15,투썸플레이스 마포대로점,서울 마포구 도화동 573,3.6304932,김세중미술관,서울 용산구 효창동 5-390,서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1,앰배서더호텔 이비스스타일 서울용산,호텔,3.5548587,서울 용산구 한강로3가 40-969
현래장,중식,3.51586,서울 마포구 마포동 140,브루니치,서울 마포구 공덕동 476,3.6304932,한국미술역사관,서울 마포구 신정동 30,마포전골목,서울 마포구 공덕동,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
,,,,설빙 마포공덕점,서울 마포구 도화동 179-11,3.6304932,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,마포갈매기골목,서울 마포구 도화동 169-3,서울가든호텔,호텔,3.5548587,서울 마포구 도화동 169-1
SOUPER 마포,양식,3.243434,서울 마포구 도화동 251-1,이디야커피 오벨리스크점,서울 마포구 도화동 555,3.6304932,KP갤러리온,서울 마포구 용강동 43-6,용마루길,서울 용산구 용문동 36-17,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
서산꽃게,한식,3.5870786,서울 마포구 도화동 201-5,커피비상구,서울 마포구 도화동 7-5,3.6304932,서강대학교 곤자가홀,서울 마포구 대흥동 22-60,마포음식문화거리,서울 마포구 용강동 45-15,가나모텔,모텔,0.7619837,서울 마포구 도화동 202-3
,,,,누아네,서울 마포구 대흥동 241-1,3.6304932,김세중미술관,서울 용산구 효창동 5-390,소금길,서울 마포구 염리동 9-245,Y호텔,모텔,0.7619837,서울 마포구 노고산동 106-46
일일향 마포점,중식,3.51586,서울 마포구 도화동 179-2,채그로카페,서울 마포구 마포동 388-5,3.6304932,DMZ문화원,서울 마포구 공덕동 404,서울명예도로 남이장군로,서울 용산구 신창동 56-1,앰배서더호텔 노보텔스위트 서울용산,호텔,3.5548587,서울 용산구 한강로3가 40-969
,,,,스타벅스 마포용강동점,서울 마포구 용강동 112-2,3.6304932,예스24 원더로크홀,서울 서대문구 창천동 20-25,용강상점가,서울 마포구 용강동 40-5,넘버25호텔 신촌점,모텔,0.7619837,서울 마포구 노고산동 106-10
,,,,비엔나커피하우스 마포신한디엠점,서울 마포구 마포동 33-1,3.6304932,대원뮤지엄,서울 용산구 한강로3가 40-999,한강공원 해넘이전망대,서울 영등포구 여의도동 84-6,브라운스위트호텔 신촌센트럴,호텔,3.5548587,서울 마포구 노고산동 57-26
SOUPER 마포,양식,3.243434,서울 마포구 도화동 251-1,빽다방 공덕역새창로점,서울 마포구 도화동 25-5,3.6304932,김세중미술관,서울 용산구 효창동 5-390,마포음식문화거리,서울 마포구 용강동 45-15,미성장모텔,모텔,0.7619837,서울 용산구 원효로2가 83-11
아이오유,양식,3.243434,서울 용산구 청암동 164,브루니치,서울 마포구 공덕동 476,3.6304932,숙명여자대학교 정영양자수박물관,서울 용산구 청파동2가 144,마포갈매기골목,서울 마포구 도화동 169-3,그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울용산,호텔,3.5548587,서울 용산구 한강로3가 40-969
,,,,프릳츠 도화점,서울 마포구 도화동 179-9,3.6304932,DGT아트센터,서울 마포구 염리동 172-15,노고산,서울 마포구 대흥동 산 1-30,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
,,,,아이엠베이글 공덕점,서울 마포구 공덕동 476,3.6304932,예스24 원더로크홀,서울 서대문구 창천동 20-25,여의도생태순환길,서울 영등포구 여의도동 84,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
,,,,도화아파트먼트 마포,서울 마포구 도화동 346-2,3.6304932,숏서킷,서울 용산구 원효로2가 30-4,공덕소담길,서울 마포구 공덕동,글래드 마포,호텔,3.5548587,서울 마포구 도화동 25-13
,,,,빽다방 공덕역새창로점,서울 마포구 도화동 25-5,3.6304932,마포문화원,서울 마포구 신공덕동 158,공덕시장족발골목,서울 마포구 공덕동 256-10,가나모텔,모텔,0.7619837,서울 마포구 도화동 202-3
,,,,누아네,서울 마포구 대흥동 241-1,3.6304932,백범김구기념관,서울 용산구 효창동 255,밤섬,서울 영등포구 여의도동 84-3,성도모텔,모텔,0.7619837,서울 마포구 노고산동 106-77
아소정,한식,3.5870786,서울 마포구 염리동 149-9,할리스 공덕경의선숲길점,서울 마포구 염리동 164-1,3.6304932,한국미술역사관,서울 마포구 신정동 30,도화동상점가,서울 마포구 도화동 179-5,호텔 나루 서울 엠갤러리,호텔,3.5548587,서울 마포구 마포동 450
아이오유,양식,3.243434,서울 용산구 청암동 164,24시셀프카페 도화점,서울 마포구 도화동 82,3.6304932,대원뮤지엄,서울 용산구 한강로3가 40-999,노고산,서울 마포구 대흥동 산 1-30,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
,,,,누아네,서울 마포구 대흥동 241-1,3.6304932,전례예술원,서울 마포구 신수동 448-8,공덕시장족발골목,서울 마포구 공덕동 256-10,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
,,,,메가MGC커피 공덕오거리점,서울 마포구 도화동 181-1,3.6304932,갤러리 워터마크,서울 용산구 도원동 3-2,소금길,서울 마포구 염리동 9-245,호텔S,모텔,0.7619837,서울 마포구 노고산동 109-154
,,,,커피비상구,서울 마포구 도화동 7-5,3.6304932,아트레온갤러리,서울 서대문구 창천동 20-25,공덕시장족발골목,서울 마포구 공덕동 256-10,피터캣,모텔,0.7619837,서울 마포구 노고산동 106-25
,,,,비엔나커피하우스 마포신한디엠점,서울 마포구 마포동 33-1,3.6304932,한국미술역사관,서울 마포구 신정동 30,용마루길,서울 용산구 용문동 36-17,로이넷호텔 서울마포,호텔,3.5548587,서울 마포구 도화동 573
마포나루 도화본점,한식,3.5870786,서울 마포구 도화동 201-39,채그로카페,서울 마포구 마포동 388-5,3.6304932,행복한예술재단 행복한홀,서울 마포구 대흥동 32-18,신촌피아노거리,서울 서대문구 창천동 30-16,앰배서더호텔 노보텔스위트 서울용산,호텔,3.5548587,서울 용산구 한강로3가 40-969
외백,중식,3.51586,서울 마포구 도화동 343-1,투썸플레이스 마포역점,서울 마포구 도화동 37,3.6304932,마포아트센터 갤러리맥,서울 마포구 대흥동 30-3,공덕시장족발골목,서울 마포구 공덕동 256-10,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
,,,,포멜로빈 공덕점,서울 마포구 공덕동 478,3.6304932,시청각,서울 용산구 용문동 38-118,용마루길,서울 용산구 용문동 36-17,앰배서더호텔 노보텔스위트 서울용산,호텔,3.5548587,서울 용산구 한강로3가 40-969
,,,,카페진미한옥,서울 마포구 용강동 508,3.6304932,숏서킷,서울 용산구 원효로2가 30-4,노고산,서울 마포구 대흥동 산 1-30,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
SOUPER 마포,양식,3.243434,서울 마포구 도화동 251-1,비파티세리 공덕점,서울 마포구 공덕동 105-67,3.6304932,서강대학교 박물관,서울 마포구 신수동 1-1,노고산,서울 마포구 대흥동 산 1-30,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
원조조박집 본관,한식,3.5870786,서울 마포구 용강동 40-1,비엔나커피하우스 마포신한디엠점,서울 마포구 마포동 33-1,3.6304932,서강대학교 박물관,서울 마포구 신수동 1-1,소금길,서울 마포구 염리동 9-245,호텔 나루 서울 엠갤러리,호텔,3.5548587,서울 마포구 마포동 450
짬뽕지존 마포점,중식,3.51586,서울 마포구 도화동 37,설빙 마포공덕점,서울 마포구 도화동 179-11,3.6304932,시청각,서울 용산구 용문동 38-118,여의도생태순환길,서울 영등포구 여의도동 84,서울드래곤시티,호텔,3.5548587,서울 용산구 한강로3가 40-969
SOUPER 마포,양식,3.243434,서울 마포구 도화동 251-1,프릳츠 도화점,서울 마포구 도화동 179-9,3.6304932,DGT아트센터,서울 마포구 염리동 172-15,한강공원 해넘이전망대,서울 영등포구 여의도동 84-6,피터캣,모텔,0.7619837,서울 마포구 노고산동 106-25
,,,,비엔나커피하우스 마포신한디엠점,서울 마포구 마포동 33-1,3.6304932,DGT아트센터,서울 마포구 염리동 172-15,서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1,호텔 나루 서울 엠갤러리,호텔,3.5548587,서울 마포구 마포동 450
,,,,비파티세리 공덕점,서울 마포구 공덕동 105-67,3.6304932,유니세프어린이지구촌체험관,서울 마포구 창전동 141-4,서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1,가나모텔,모텔,0.7619837,서울 마포구 도화동 202-3
복성각 마포본점,중식,3.51586,서울 마포구 도화동 173,채그로카페,서울 마포구 마포동 388-5,3.6304932,여의도 물빛무대,서울 영등포구 여의도동 84-1,신촌피아노거리,서울 서대문구 창천동 30-16,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
,,,,스타벅스 마포아크로점,서울 마포구 도화동 563,3.6304932,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,서울명예도로 남이장군로,서울 용산구 신창동 56-1,호텔 나루 서울 엠갤러리,호텔,3.5548587,서울 마포구 마포동 450
,,,,메가MGC커피 공덕SK리더스뷰점,서울 마포구 공덕동 426-15,3.6304932,행복한예술재단 행복한홀,서울 마포구 대흥동 32-18,마포음식문화거리,서울 마포구 용강동 45-15,Y호텔,모텔,0.7619837,서울 마포구 노고산동 106-46
아이오유,양식,3.243434,서울 용산구 청암동 164,스타벅스 마포아크로점,서울 마포구 도화동 563,3.6304932,용산문화원,서울 용산구 원효로4가 87-4,마포음식문화거리,서울 마포구 용강동 45-15,앰배서더호텔 노보텔스위트 서울용산,호텔,3.5548587,서울 용산구 한강로3가 40-969
,,,,포멜로빈 공덕점,서울 마포구 공덕동 478,3.6304932,한국미술역사관,서울 마포구 신정동 30,신촌피아노거리,서울 서대문구 창천동 30-16,가나모텔,모텔,0.7619837,서울 마포구 도화동 202-3
몽중헌 공덕점,중식,3.51586,서울 마포구 도화동 25-13,메가MGC커피 공덕SK리더스뷰점,서울 마포구 공덕동 426-15,3.6304932,서강대학교메리홀 소극장,서울 마포구 신수동 1-1,마포갈매기골목,서울 마포구 도화동 169-3,원효여관,모텔,0.7619837,서울 용산구 원효로2가 81-6
