음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
천진분식,중식,3.5214744,서울 서대문구 대현동 56-24,밀랑스,서울 마포구 대흥동 2-30,3.7692275,디앤디,서울 서대문구 창천동 53-83,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,2.0114238,서울 서대문구 창천동 31-92
미도인 신촌,일식,3.3172212,서울 서대문구 창천동 45-12,내사랑,서울 서대문구 대현동 67-80,3.7692275,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,소금길,서울 마포구 염리동 9-245,호텔밀하우스,호텔,3.7650409,서울 서대문구 창천동 29-56
가야가야 이대점,일식,3.3172212,서울 서대문구 대현동 56-21,스타벅스 이대R점,서울 서대문구 대현동 54-4,3.7692275,연세대학교 노천극장,서울 서대문구 신촌동 134,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,아바니호텔,호텔,3.7650409,서울 서대문구 창천동 20-37
대현매운족발 본점,한식,3.8059044,서울 서대문구 대현동 104-25,커피크레페 본점,서울 서대문구 창천동 30-10,3.7692275,이화여자대학교 대강당,서울 서대문구 대현동 11-1,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,서울큐브이화,게스트하우스,2.0114238,서울 마포구 염리동 9-124
,,,,문베어,서울 서대문구 창천동 5-21,3.7692275,모두예술극장,서울 서대문구 충정로3가 476,용강상점가,서울 마포구 용강동 40-5,호텔밀하우스,호텔,3.7650409,서울 서대문구 창천동 29-56
이빠네마그릴,양식,3.0544405,서울 서대문구 창천동 18-11,그릭데이 이대본점,서울 서대문구 대현동 27-33,3.7692275,이화여자대학교 대강당,서울 서대문구 대현동 11-1,홍대패션거리,서울 마포구 서교동 348-78,비욘드스위트,호텔,3.7650409,서울 서대문구 대현동 101-9
꼬숑돈까스,일식,3.3172212,서울 서대문구 창천동 31-26,스타벅스 신촌점,서울 서대문구 창천동 18-55,3.7692275,신촌극장,서울 서대문구 창천동 52-101,삼거리꽃길,서울 서대문구 대현동,호텔모모,모텔,0.58224434,서울 서대문구 창천동 20-38
아민 이화,양식,3.0544405,서울 서대문구 대현동 34-23,메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.7692275,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,마포음식문화거리,서울 마포구 용강동 45-15,굿타임호텔,모텔,0.5822444,서울 서대문구 대현동 104-41
신촌수제비,한식,3.8059044,서울 서대문구 창천동 30-10,원앤온리커피,서울 서대문구 대현동 37-7,3.7692275,마포아트센터 갤러리맥,서울 마포구 대흥동 30-3,연세로,서울 서대문구 창천동,비욘드스위트,호텔,3.7650409,서울 서대문구 대현동 101-9
이빠네마그릴,양식,3.0544405,서울 서대문구 창천동 18-11,문베어,서울 서대문구 창천동 5-21,3.7692275,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,와우산,서울 마포구 창전동 3-243,신라스테이 마포,호텔,3.7650409,서울 마포구 도화동 570
대전해장국전문,한식,3.8059044,서울 마포구 노고산동 19-39,문베어,서울 서대문구 창천동 5-21,3.7692275,산울림소극장,서울 마포구 서교동 327-9,도화동상점가,서울 마포구 도화동 179-5,디케이하우스,게스트하우스,2.0114238,서울 서대문구 대현동 90-37
부엉이돈가스 신촌점,일식,3.3172212,서울 서대문구 창천동 5-70,벨라프라하,서울 서대문구 대현동 37-35,3.7692275,구름아래소극장,서울 마포구 서교동 337-11,이대앞사주카페거리,서울 서대문구 대현동,호텔루씨르,모텔,0.58224434,서울 서대문구 창천동 29-68
엠브로돈까스 신촌점,일식,3.3172212,서울 서대문구 창천동 13-16,호밀밭,서울 서대문구 창천동 4-77,3.7692275,한예진아트홀,서울 서대문구 대현동 67-11,신촌대학탐방나들길,서울 서대문구 대현동,Y호텔,모텔,0.58224434,서울 마포구 노고산동 106-46
,,,,에이투지카페,서울 서대문구 창천동 13-14,3.7692275,추계예술대학교 콘서트홀,서울 서대문구 북아현동 190-1,연세대학교 백양로,서울 서대문구 신촌동 134,에버8,호텔,3.7650409,서울 서대문구 대현동 104-5
이빠네마그릴,양식,3.0544405,서울 서대문구 창천동 18-11,룸익스케이프 화이트점,서울 서대문구 창천동 5-21,3.7692275,AOR라이브클럽,서울 마포구 서교동 325-26,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,필스테이 이화부띠끄점,게스트하우스,2.0114238,서울 서대문구 대현동 56-126
이빠네마그릴,양식,3.0544405,서울 서대문구 창천동 18-11,더파이홀,서울 서대문구 창천동 57-61,3.7692275,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,이화52번가,서울 서대문구 대현동 33-9,호텔밀하우스,호텔,3.7650409,서울 서대문구 창천동 29-56
현명식탁,양식,3.0544405,서울 서대문구 창천동 13-2,와플잇업 이대2호점,서울 서대문구 대현동 27-17,3.7692275,윤동주기념관,서울 서대문구 신촌동 134,연세로,서울 서대문구 창천동,호텔루씨르,모텔,0.58224434,서울 서대문구 창천동 29-68
